ScripNo,underlyingScripNo,Instrument,symbol,tradeSymbol,MLot,expiryDate,StrikePrice,OptType
35000,26008,OPTIDX,NIFTYIT,NIFTYIT17APR11900CE,50,2017-04-27,11900,CE
35001,26008,OPTIDX,NIFTYIT,NIFTYIT17APR11900PE,50,2017-04-27,11900,PE
35002,26000,OPTIDX,NIFTY,NIFTY20DEC10400CE,75,2020-12-31,10400,CE
35003,26000,OPTIDX,NIFTY,NIFTY20DEC10400PE,75,2020-12-31,10400,PE
35004,26028,OPTIDX,S&P500,S&P50017APR2170CE,250,2017-04-21,2170,CE
35005,26028,OPTIDX,S&P500,S&P50017APR2170PE,250,2017-04-21,2170,PE
35006,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730219700CE,40,2017-03-02,19700,CE
35007,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730219700PE,40,2017-03-02,19700,PE
35008,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730219800CE,40,2017-03-02,19800,CE
35009,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730219800PE,40,2017-03-02,19800,PE
35010,26028,OPTIDX,S&P500,S&P50017SEP2040CE,250,2017-09-15,2040,CE
35011,26028,OPTIDX,S&P500,S&P50017JUN1970CE,250,2017-06-16,1970,CE
35012,26028,OPTIDX,S&P500,S&P50017SEP2040PE,250,2017-09-15,2040,PE
35013,26028,OPTIDX,S&P500,S&P50017JUN1970PE,250,2017-06-16,1970,PE
35014,26009,OPTIDX,BANKNIFTY,BANKNIFTY1721621800CE,40,2017-02-16,21800,CE
35015,26009,OPTIDX,BANKNIFTY,BANKNIFTY1721621800PE,40,2017-02-16,21800,PE
35016,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB20000CE,40,2017-02-23,20000,CE
35017,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB20000PE,40,2017-02-23,20000,PE
35018,26027,FUTIDX,DJIA,DJIA17APRFUT,30,2017-04-21,-1,XX
35019,26039,FUTIDX,FTSE100,FTSE10017APRFUT,100,2017-04-21,-1,XX
35020,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB20100CE,40,2017-02-23,20100,CE
35021,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB20100PE,40,2017-02-23,20100,PE
35022,26027,FUTIDX,DJIA,DJIA17JUNFUT,30,2017-06-16,-1,XX
35023,26028,FUTIDX,S&P500,S&P50017JUNFUT,250,2017-06-16,-1,XX
35024,26009,OPTIDX,BANKNIFTY,BANKNIFTY17MAR19700CE,40,2017-03-30,19700,CE
35025,26009,OPTIDX,BANKNIFTY,BANKNIFTY17MAR19700PE,40,2017-03-30,19700,PE
35026,26000,OPTIDX,NIFTY,NIFTY17FEB9500CE,75,2017-02-23,9500,CE
35027,26000,OPTIDX,NIFTY,NIFTY17FEB9500PE,75,2017-02-23,9500,PE
35028,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB21800CE,40,2017-02-23,21800,CE
35029,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB21800PE,40,2017-02-23,21800,PE
35030,26008,OPTIDX,NIFTYIT,NIFTYIT17APR12000CE,50,2017-04-27,12000,CE
35031,26008,OPTIDX,NIFTYIT,NIFTYIT17APR12000PE,50,2017-04-27,12000,PE
